EngineCoolantTemperature;EngineLoad;RPM;IntakeManifoldPressure;MassAirFlow;IntakeAirTemperature;Speed;ShortTermFuelTrimBank1;ThrottlePosition;TimingAdvance
84;35,7;1448;20;7,56;30;50;0,07;25,9;0,71
84;18,4;1351;21;3,83;30;46;0,133;20,8;0,62
84;22,7;1452;22;4,13;31;39;0,172;22,4;0,6435
84;27,8;1141;20;3,63;31;31;0;23,5;0,667
83;19,6;1461;53;3,9;30;31;0,102;23,9;0,604
83;65,9;1582;58;15,76;30;36;-0,008;31,8;0,678
83;70,2;1821;37;18,32;30;38;-0,078;32,5;0,678
83;18;1742;42;7,36;30;35;0,039;27,5;0,631
83;49,4;1713;21;6,02;30;29;0;23,1;0,702
83;17,3;1381;55;5,25;30;30;0,086;24,3;0,655
83;62;1599;23;14,6;30;37;-0,008;31,4;0,682
84;18;1751;18;4,67;30;34;0;22,4;0,635
84;18;1691;19;4,42;30;34;0;22,4;0,631
83;17,6;1271;18;3,18;31;23;0,094;19,2;0,753
83;19,2;1711;46;4,41;31;13;0,016;22,4;0,647
83;45,9;791;74;5;30;16;-0,016;23,5;0,553
83;78,4;1533;19;15,01;30;14;-0,086;30,6;0,631
84;20,8;934;38;3,96;31;9;0,031;20;0,675
84;42,4;805;32;4,83;31;14;0,031;22;0,518
84;41,6;775;32;4,55;32;17;-0,039;20,8;0,573
59;80,8;982;67;12,19;30;13;-0,047;30,6;0,557
60;40;774;40;4,67;30;0;-0,023;22,4;0,565
61;47,8;851;48;5,5;30;0;0,047;23,5;0,533
62;65,1;785;52;7,61;30;0;0,07;26,3;0,561
63;79,2;791;77;9,27;30;3;0,055;27,8;0,502
64;73,7;962;60;12,08;30;15;0,07;30,6;0,439
65;28,6;2304;77;6;30;19;0,07;23,9;0,545
65;100;1835;75;28,7;30;32;-0,047;36,9;0,62
66;18,8;2163;67;6,32;30;31;-0,016;23,5;0,592
67;91,4;1666;71;23,05;30;41;-0,031;34,9;0,635
68;31,8;1976;48;7,96;30;43;-0,016;25,1;0,671
69;42,7;1471;25;9,44;30;45;-0,047;27,8;0,694
69;17,6;1546;19;3,91;30;47;-0,016;22;0,6645
70;45,9;902;44;5,01;30;47;0,039;21,6;0,635
71;40;1305;33;7,72;30;47;-0,039;26,3;0,678
72;44,7;1286;40;8,9;30;47;-0,047;27,5;0,675
72;51,8;1295;45;10,18;30;47;0,039;28,6;0,663
73;51,4;1271;54;9,93;30;47;0,039;28,6;0,667
74;71,8;1315;60;13,82;30;50;-0,016;31;0,643
74;76,9;1376;51;15,72;30;52;-0,016;31,8;0,639
75;56,9;1435;40;11,98;30;54;-0,031;29,8;0,675
76;38,4;1504;39;8,61;30;57;0,031;27,1;0,706
77;37,6;815;36;4,33;30;58;-0,086;20,4;0,58
77;36,5;812;32;4,25;30;56;-0,141;20,8;0,576
78;42;789;34;4,47;30;53;-0,039;21,2;0,565
78;39,6;814;35;4,57;30;47;-0,062;21,2;0,557
79;38,8;814;35;4,5;30;38;-0,062;20,8;0,58
79;38,8;809;32;4,52;30;17;-0,062;20,8;0,549
79;46,7;1290;70;8,03;30;24;0,039;27,8;0,529
80;85,9;2298;41;30,49;30;29;0,031;36,5;0,675
81;79,2;1546;20;18,75;30;36;-0,008;32,9;0,651
81;19,6;942;45;3,86;30;29;-0,039;20,8;0,608
82;74,1;1508;68;16,98;30;37;0,055;32,5;0,667
82;74,9;1956;56;7,18;30;41;-0,039;25,1;0,663
83;71,4;1386;60;14,68;30;44;0,031;31,4;0,647
83;48,6;1493;30;4,62;30;33;-0,086;21,2;0,643
84;44,3;779;58;4,61;30;24;-0,039;21,2;0,573
85;77,3;2299;38;27,34;30;28;-0,047;35,3;0,682
83;96,9;1416;84;21,65;30;32;0,062;35,3;0,612
81;100;1635;86;27,08;29;38;0,008;37,6;0,58
80;100;1931;78;32,2;29;43;-0,062;38,8;0,604
80;94,5;2128;19;30,35;29;39;-0,086;36,9;0,643
80;40;806;36;4,94;30;23;-0,07;21,6;0,671
81;81,2;1188;76;15,08;29;33;0,086;32,2;0,592
81;92,5;1851;25;26,49;29;42;0,016;36,1;0,643
82;35,7;828;36;4,02;30;47;0;20,4;0,565
83;40;804;34;4,47;30;43;-0,055;20,8;0,58
83;38,4;768;35;4,36;30;33;-0,07;20,8;0,565
82;40,4;781;32;4,2;30;27;-0,07;20,8;0,576
81;44,3;1337;38;8,9;30;23;0,062;27,5;0,675
80;32,2;818;34;4,16;30;2;0,047;20,4;0,651
79;97,3;716;39;5,54;30;4;-0,008;24,7;0,588
79;40;878;42;4,97;30;1;-0,016;21,6;0,533
79;73,3;681;46;7,79;30;13;-0,031;27,1;0,576
79;16,5;1148;45;2,37;30;14;-0,008;17,3;0,651
79;46,3;1214;38;8,19;30;15;-0,023;22,4;0,604
80;55,3;754;53;5,09;30;18;-0,008;22;0,51
80;73,7;1018;65;11,83;30;28;-0,008;30,6;0,569
81;79,2;1474;62;17,57;30;37;-0,062;32,5;0,643
82;36,9;1178;46;8,3;30;38;0,016;27,1;0,624
82;58,4;1257;47;11,04;30;40;0,047;29;0,651
82;14,1;1264;31;3,38;30;39;-0,016;18,8;0,718
82;37,3;796;31;4,15;30;39;-0,062;20,4;0,557
82;34,9;808;33;4,13;30;39;-0,047;20,4;0,6
81;35,3;820;33;3,98;30;39;-0,008;20;0,545
81;37,3;808;32;4,24;30;40;-0,008;20,4;0,541
81;32,2;823;43;3,42;30;34;-0,008;17,6;0,569
81;36,1;800;34;4,29;30;15;-0,016;20,4;0,639
81;38,8;778;33;4,32;30;6;-0,039;20,8;0,545
81;37,6;797;34;4,36;30;2;-0,039;20,4;0,584
81;39,6;788;48;4,48;30;10;0,023;21,2;0,565
81;61,2;1951;46;18,95;30;17;0,031;32,9;0,69
82;55,7;1546;31;12,95;30;18;0,039;30,6;0,686
82;42,4;730;34;4,52;30;13;0,055;20,8;0,596
82;38;800;32;4,67;30;5;0,016;21,2;0,573
82;39,2;801;34;4,48;31;5;0;20,8;0,561
82;36,5;826;37;4;31;9;0;20;0,584
82;40,4;798;34;4,55;31;3;0,031;20,8;0,537
82;42,7;784;70;4,83;31;4;0,023;21,2;0,557
82;61,6;1052;37;10,07;30;10;0,031;28,6;0,525
82;72,2;1041;23;12,2;30;22;0,039;30,6;0,616
81;66,7;1082;59;11,06;30;27;0,055;29,8;0,647
81;69;1438;20;14,98;30;29;-0,039;31,4;0,655
81;52,2;1011;33;3,7;30;23;0,031;17,6;0,635
81;38;722;52;4,25;30;19;0,031;22;0,486
82;67,8;1739;20;19,21;30;25;0,039;32,9;0,678
82;70,2;1246;73;14,67;30;29;0,055;31,8;0,647
83;87,1;1530;70;19,95;30;35;-0,008;33,7;0,631
83;75,3;1777;53;19,91;30;37;-0,016;33,7;0,667
83;43,5;1785;56;6,46;30;33;-0,023;23,1;0,694
83;71,4;1093;51;11,5;30;35;0,047;29,8;0,62
83;54,5;1185;38;9,48;30;36;-0,016;27,8;0,647
83;26,3;1194;32;2,71;31;36;0,047;18,4;0,663
83;40,4;806;33;4,42;31;36;-0,016;20,8;0,541
83;34,1;804;31;4;31;36;0,031;20;0,588
83;31,8;805;35;4;31;36;0,016;20;0,588
83;38;796;34;4,38;31;19;0,016;20,4;0,549
83;36,9;786;52;3,57;31;13;0,016;18,4;0,553
83;64,7;1412;32;13,96;31;18;0,039;27,8;0,651
83;44,7;750;36;4,6;31;13;0,062;22;0,545
82;40,4;810;33;4,48;31;2;-0,023;20,8;0,549
82;39,6;781;31;4,34;31;0;-0,016;20,8;0,569
82;41,6;796;33;4,54;31;0;-0,07;20,8;0,592
82;40,8;791;34;4,73;31;0;0;21,2;0,557
82;42,7;776;35;4,71;31;0;0;21,6;0,624
82;40,4;808;35;4,42;31;0;0,008;20,8;0,573
82;38;793;33;4,4;31;0;0;20,8;0,58
82;41,6;798;54;4,53;31;7;-0,031;21,2;0,549
82;48,6;1589;28;12,29;31;12;0;30,2;0,635
82;60,8;1009;51;9,85;31;15;0;28,6;0,627
82;59,6;1279;44;11,38;31;16;0,008;29;0,631
82;52,5;1316;43;9,98;31;15;-0,055;28,6;0,643
83;53,7;1265;57;10,46;31;22;0,031;29,4;0,655
83;69,4;2098;48;22,9;31;29;0;34,5;0,678
83;71,4;1546;67;17,29;30;38;-0,016;32,9;0,663
84;77,6;2009;43;20,52;30;43;0;32,9;0,671
84;44,3;2130;43;14,4;30;43;-0,055;31;0,718
84;16,1;1469;36;7,32;30;42;-0,008;26,3;0,655
84;54,9;1375;49;11,16;30;41;0,047;29,8;0,675
84;58,4;1481;45;12,88;30;48;-0,008;30,6;0,678
84;42;1610;20;9,64;30;48;0,031;27,1;0,714
84;34,1;923;35;3,88;31;48;-0,039;23,5;0,522
83;43,5;1345;44;9,21;30;50;-0,039;27,8;0,682
83;59,6;1390;64;12,28;30;51;0,039;30,2;0,667
83;76,5;1439;50;16,38;30;55;0;32,2;0,643
83;15,3;1407;30;3,67;31;55;0,078;20;0,729
83;40;788;34;4,3;31;52;-0,039;20,4;0,529
83;33,3;808;32;4,16;31;46;0,008;20,4;0,549
83;36,1;811;31;4,16;31;42;0;20,4;0,545
83;52,2;1456;40;10,94;31;45;0,031;29,4;0,682
83;52,2;1504;50;12,66;30;47;0,023;30,2;0,686
83;47,5;1592;36;11,08;30;48;-0,086;29;0,69
82;40;1599;45;9,78;30;49;0,008;28,2;0,718
82;58,4;1656;19;14,55;30;50;0,008;31,4;0,69
82;42,7;877;34;4,58;31;47;-0,047;20,8;0,655
82;41,2;783;29;4,55;31;45;-0,023;20,8;0,549
82;40,8;784;32;4,51;31;42;-0,023;20,8;0,584
83;37,6;818;32;4,04;31;37;-0,039;19,6;0,565
83;36,5;811;33;4,06;31;19;-0,047;20,4;0,549
83;36,5;821;35;4,11;31;8;0,008;20,4;0,549
83;36,5;820;32;4,09;31;1;0,008;20,4;0,545
83;37,3;809;33;4,02;31;0;0,023;20,4;0,561
83;52,9;1302;33;10,92;31;2;-0,008;29,8;0,627
82;40,8;786;46;4,52;31;2;0,039;20,8;0,557
82;63,9;928;20;9,01;31;13;-0,031;28,2;0,533
82;55,3;1254;59;11,41;31;26;0,039;29,8;0,655
81;22,7;2055;53;5,4;31;33;0,055;22,7;0,71
81;69;1658;61;17,55;30;40;-0,008;32,5;0,675
82;19,6;1571;59;5,09;30;44;0,023;27,1;0,627
82;71;1505;52;15,79;30;48;0,023;31,8;0,659
83;56,5;1643;48;13,91;30;51;0;31;0,69
83;60;1723;43;15,63;30;52;0,008;31,4;0,69
83;51,4;1714;43;13,16;30;51;0,023;30,6;0,702
83;47,8;1688;54;12,3;30;52;0,039;29,8;0,702
82;61,6;1751;31;16,3;31;52;-0,023;31,8;0,686
82;53,7;1433;49;12,27;31;53;-0,008;30,2;0,682
83;47,1;1428;40;10,04;31;51;0,047;28,2;0,682
83;48,2;1420;43;10,22;31;52;0,039;28,6;0,686
83;49;1429;32;7,96;31;52;-0,008;26,3;0,682
83;46,3;1443;39;9,64;31;53;0,039;28,2;0,69
83;41,6;1461;37;9,06;31;53;-0,016;27,5;0,698
82;40,4;1452;35;9,01;31;52;0,039;27,5;0,702
82;15,3;846;32;4,51;31;50;-0,008;22,4;0,686
82;40,4;770;34;4,44;32;36;-0,008;20,8;0,573
82;37,6;800;34;3,97;32;23;-0,023;20,4;0,592
82;39,6;777;31;4,33;32;5;-0,023;20,8;0,565
82;37,3;801;33;4,34;32;0;-0,023;20,4;0,58
83;38;808;34;4,31;32;0;0,023;20,4;0,553
83;39,2;789;39;4,54;32;0;0,023;20,8;0,518
83;61,2;749;50;6,4;32;12;-0,016;24,7;0,561
83;17,3;1670;65;4;31;22;-0,016;20,8;0,612
82;77,3;2241;68;20,19;31;31;0,039;26,7;0,678
82;83,9;1655;67;21,09;31;40;-0,047;34,1;0,651
82;80,8;2113;63;8,42;31;42;0,039;26,3;0,675
82;81,6;1430;67;17,11;31;43;-0,047;32,5;0,635
82;85,5;1416;35;17,78;31;40;-0,008;32,9;0,624
83;61,6;1859;72;18,73;31;41;0,055;33,3;0,694
83;82,4;2084;68;25,87;31;47;0,023;35,3;0,671
83;68,2;2350;27;24,7;31;48;-0,047;34,5;0,69
82;56,9;1560;48;13;31;45;-0,016;30,6;0,686
83;20,4;1137;33;3,41;32;42;0;17,6;0,604
83;38,8;783;30;4,25;32;39;-0,07;20,4;0,541
83;35,3;812;32;4,01;32;32;-0,039;20;0,569
84;37,3;799;32;4,21;32;25;-0,023;20,4;0,573
84;38,4;783;37;4,04;32;18;-0,023;20,4;0,592
84;44,3;1397;27;9,84;32;25;-0,039;29,4;0,631
83;56,9;1276;58;12,24;31;35;0,047;30,2;0,671
82;70,6;1885;55;19,78;31;42;0,039;31;0,678
82;47,1;1427;20;9,62;32;41;0,008;28,2;0,667
82;46,3;812;33;4,42;32;34;-0,008;20,4;0,635
82;51;1047;69;9,62;32;36;0,07;28,6;0,659
82;86,3;1272;68;16,19;31;42;-0,023;32,5;0,604
83;77,3;1462;52;14,54;31;45;-0,078;31,4;0,643
83;58,8;1477;57;13,12;31;43;-0,055;30,6;0,682
83;52,5;1446;20;9,86;32;42;-0,055;28,6;0,678
83;36,9;914;33;4,38;32;40;0,031;20;0,573
83;39,6;790;32;4,52;32;40;-0,023;20,8;0,549
83;38,8;788;32;4,2;33;42;-0,023;20,4;0,569
83;38;782;34;4,16;33;44;-0,023;20,4;0,58
83;36,5;797;32;4,19;33;46;-0,023;20,4;0,557
83;38;774;27;4,32;33;48;-0,023;20,4;0,576
83;42,4;1597;32;10,56;33;48;0,047;29;0,6
83;36,1;728;36;4,19;33;46;0,062;20,8;0,651
83;37,3;824;31;4,44;33;45;0,031;20,4;0,529
82;38;808;31;4,34;33;43;-0,031;20,4;0,569
82;36,5;805;35;4,18;33;41;-0,031;20,4;0,553
82;43,1;1412;47;8,74;32;43;0,047;24,7;0,694
82;51;1416;47;10,73;32;42;-0,039;29;0,682
82;62,4;1395;59;13,75;32;43;0,008;31;0,671
83;70,2;1462;20;15,22;32;45;0,008;31,8;0,655
82;43,9;871;33;4,34;32;27;0,016;20,8;0,659
82;38,4;761;33;4,34;33;10;-0,039;20,8;0,557
82;37,6;797;33;4,32;33;2;0,008;20,4;0,561
83;34,1;820;33;3,91;33;0;-0,016;20;0,58
83;38,8;795;34;4,39;33;0;-0,023;20,4;0,541
83;40,8;813;32;4,17;33;0;-0,023;20,4;0,573
83;38;813;31;4,39;33;0;-0,016;20,4;0,569
83;38,4;808;33;4,13;33;0;0,023;20,4;0,569
83;38,8;808;34;4,29;33;0;0,023;20,4;0,565
82;40;806;35;4,49;33;0;0,039;20,8;0,525
82;34,9;803;34;4,22;33;0;0,055;20,4;0,576
82;67,8;1092;57;10,15;32;16;-0,031;28,2;0,58
82;18;1571;56;11,35;32;24;0,039;29,8;0,631
82;18,4;1616;31;3,93;33;19;0,094;20,8;0,62
82;38,4;802;33;4,26;33;5;-0,031;20,4;0,529
83;34,9;796;31;4,13;33;0;-0,039;20,4;0,553
83;38,8;806;34;4,37;33;0;0,016;20,4;0,561
84;37,3;819;32;4,01;33;0;0,016;20,4;0,553
84;36,5;792;33;4,38;34;0;0,016;20,4;0,561
84;38,4;792;28;4,36;34;0;0,062;20,4;0,576
84;38,4;786;33;4,37;34;0;-0,008;20,4;0,576
85;37,3;792;34;4,41;34;0;0,016;20,4;0,557
85;35,7;786;33;4,44;34;0;-0,031;20,8;0,557
85;39,6;789;34;4,05;34;0;-0,047;20,4;0,557
85;38;810;35;4,22;34;0;0;20,4;0,576
85;39,6;800;33;4,24;34;0;0;20,4;0,557
85;39,6;776;34;4,53;34;0;0,016;20,8;0,549
86;37,6;788;34;4,34;34;0;-0,031;20,4;0,592
86;38,8;801;34;4,42;34;0;-0,047;20,4;0,58
86;36,9;808;33;4,15;34;0;0,008;20,4;0,573
87;36,9;799;34;4,24;34;0;0,016;20,4;0,553
87;38;801;34;4,13;34;0;0,023;20,4;0,569
88;37,6;796;34;3,99;34;0;0,023;20,4;0,576
88;61,6;1333;54;14,02;33;13;0,047;31,4;0,627
88;66,7;2752;57;9,11;33;22;0,039;27,1;0,698
88;76,1;2139;22;24,6;33;32;-0,039;34,9;0,678
89;29,4;1566;53;10,07;33;34;0,047;29,4;0,749
89;61,2;1741;61;16,09;32;41;-0,039;32,2;0,686
89;23,1;1803;70;4,66;32;42;0,086;22,4;0,565
89;89,4;1470;74;19,92;32;48;0,039;34,1;0,616
90;89,4;1656;53;22,09;32;52;-0,055;34,5;0,635
90;60,8;1770;43;5,81;33;52;0,07;23,1;0,686
90;62,7;1434;47;13,39;33;53;0;30,6;0,667
89;59,2;1461;64;12,74;32;53;0,062;30,2;0,675
89;83,1;1454;66;17,69;32;52;-0,008;32,9;0,631
89;67,5;1377;53;13,95;33;48;-0,031;31;0,655
89;69;1327;69;13,36;33;51;0,055;31;0,643
89;76,5;1419;71;16,03;33;55;0,031;32,2;0,635
88;64,3;1535;40;13,11;33;56;0;30,2;0,655
88;47,8;1546;47;10,74;33;57;0,047;29,4;0,698
88;17,3;1262;53;3,31;33;55;0,102;18;0,671
87;74,5;1555;63;17,99;33;60;0,055;32,9;0,663
87;77,3;1671;58;19,12;33;64;-0,062;33,3;0,659
87;20;1551;26;4,29;33;63;0,016;20,8;0,682
86;37,3;811;31;4,11;34;64;-0,023;20,4;0,533
86;36,5;810;30;4,05;34;61;-0,016;20;0,561
86;34,1;743;49;3,55;34;56;-0,016;20;0,604
85;66,7;1525;63;15,6;33;55;-0,0625;31,8;0,667
85;71;1489;33;14,34;33;53;-0,109;31;0,655
84;32,9;802;33;3,93;34;56;0,039;20;0,624
84;35,3;801;34;3,72;34;57;0,031;19,6;0,608
83;33,7;808;32;3,83;34;53;0,016;20;0,533
83;37,6;801;34;4,23;34;28;0,0275;20,4;0,545
83;36,9;800;42;4,31;34;26;0,039;20,4;0,565
83;61,2;1387;26;12,5;33;34;0,031;30,6;0,659
82;19,6;1110;34;3,07;34;29;-0,008;17,3;0,596
82;38;781;34;4,33;34;25;0,031;20,4;0,549
81;35,7;797;34;4,04;34;20;0,016;20,4;0,561
81;37,6;783;35;3,97;34;7;0,008;20,4;0,565
81;42,4;799;62;4,88;34;6;0,023;22;0,498
81;59,2;1441;42;12,77;34;11;0,016;30,6;0,604
81;68,2;1090;57;11,06;33;21;-0,031;29,8;0,62
81;29;1787;67;4,79;33;24;0,078;21,6;0,678
81;74,5;1302;61;14,79;33;31;0,023;31,4;0,624
82;73,3;1643;45;17,66;33;34;0;32,5;0,671
82;67,8;1143;64;11,55;33;36;-0,016;30,2;0,631
82;81,6;1244;72;15,57;33;42;0,031;32,2;0,612
83;88,6;1417;65;18,65;33;46;-0,047;33,7;0,612
83;77,6;1549;69;17,82;33;48;0;32,9;0,655
83;85,9;1637;62;21,37;33;51;0,023;34,1;0,643
83;74,5;1683;65;18,84;33;51;0,031;33,3;0,671
83;32,2;1742;51;4,96;33;53;0,008;22;0,667
84;68,2;1512;53;15,24;33;58;0,078;31,8;0,663
84;55,3;1689;40;12,79;33;63;0,062;30,2;0,69
84;45,9;1711;49;12,48;33;61;0,062;30,2;0,71
83;58,8;1660;53;14,79;33;59;0;31,4;0,686
83;52,5;1617;40;9,95;33;57;0,039;27,1;0,682
83;0;1558;42;11,15;33;57;0,031;29,4;0,694
83;54,5;1565;50;12,61;33;57;0,031;30,2;0,686
83;58;1592;49;13,8;33;59;0,031;31;0,686
83;53,7;1630;31;5,22;33;53;0,055;22;0,686
83;40;800;33;4,41;34;31;-0,008;20,4;0,616
83;38,8;793;47;4,14;34;17;-0,023;17,6;0,608
83;64,3;1663;20;16,73;33;26;0,031;32,2;0,675
83;66,7;1356;65;13,8;33;35;-0,008;31,4;0,659
83;79,2;1864;48;22,65;33;41;0,016;34,5;0,663
83;60,4;1458;50;12,77;33;51;-0,039;30,6;0,671
83;17,6;1660;32;4,38;33;55;0,07;21,6;0,753
83;37,6;795;35;4,16;34;53;-0,039;20;0,541
83;61,6;1803;55;16,87;33;57;0,031;32,2;0,682
83;66,3;1915;42;19,57;33;60;-0,008;32,9;0,678
83;18,4;1428;28;3,59;33;54;0,055;20,4;0,627
83;36,5;794;29;4,11;34;51;0,031;20;0,549
83;36,9;821;33;3,87;34;48;-0,023;20;0,537
83;31,8;820;30;3,41;34;47;-0,016;19,6;0,569
83;54,1;1575;31;14,06;33;50;0,047;31;0,694
83;27,5;1658;33;4,91;34;48;0,047;20,8;0,733
83;36,5;806;34;4,19;34;43;0;20,4;0,588
83;33,3;827;31;3,76;34;41;0,031;19,6;0,569
82;38;819;31;3,86;34;33;0,008;20;0,549
82;35,7;809;33;3,77;35;13;0,008;20;0,553
82;36,9;801;31;4,18;35;8;0,008;20,4;0,549
82;34,9;825;32;3,74;35;2;0,008;20;0,553
83;36,1;804;34;4,32;35;0;0,023;20,4;0,565
83;32,5;828;34;3,81;35;0;0,039;19,2;0,557
83;37,3;783;33;4,36;35;1;0,023;20,8;0,569
83;47,8;750;36;2,64;35;3;0,039;23,1;0,557
83;42,7;782;34;4,57;35;0;-0,031;21,2;0,529
83;36,9;815;31;4,29;35;0;0,016;20,8;0,537
83;34,5;793;46;4,08;35;2;0,016;20,4;0,545
83;30,6;760;36;4,85;35;1;-0,016;23,1;0,604
83;39,6;794;35;4,48;35;0;0,016;20,8;0,545
83;41,6;792;54;4,64;35;9;0,031;21,2;0,541
83;56,1;2206;35;8,42;34;21;0,031;25,9;0,69
83;35,7;1985;36;10,63;33;26;0,039;29;0,729
83;79,2;1376;72;16,06;33;35;-0,023;32,2;0,627
83;85,9;1799;72;23,77;33;42;0;34,9;0,651
83;86,3;2164;67;28,49;33;43;0,016;35,7;0,671
84;78,8;1437;67;16,95;33;45;0,016;32,5;0,639
84;74,5;1511;68;16,64;33;48;-0,023;32,2;0,655
84;82,7;1641;62;20,16;33;52;-0,062;33,7;0,651
84;71;1755;53;18,49;33;53;-0,039;0;0,663
84;62,7;1754;51;16,44;33;51;0,039;31,8;0,686
84;65,5;1677;66;16,43;33;51;0,055;32,2;0,686
84;80,8;1712;57;20,46;33;49;-0,023;27,1;0,655
84;88,2;1345;75;17,28;33;51;0,055;32,9;0,612
85;89,8;1435;21;18,46;33;55;-0,031;33,3;0,616
85;38,8;865;33;4,59;34;54;-0,047;20,4;0,667
85;37,3;795;34;4,19;34;52;-0,039;20,4;0,561
85;36,1;792;32;4,39;34;49;-0,039;20,4;0,565
85;35,7;790;34;4,21;34;36;-0,039;20;0,588
85;36,9;794;34;4,16;34;17;-0,039;20,4;0,58
85;41,2;780;34;4,27;34;2;-0,039;20,8;0,58
85;39,6;792;33;4,18;35;0;0,031;20,4;0,569
85;35,3;811;33;4,15;35;0;-0,016;20;0,545
84;38;806;33;4,14;35;0;-0,023;20,4;0,541
84;39,2;809;33;4,32;35;0;-0,023;20,4;0,576
84;35,7;807;33;4,12;35;0;-0,031;20;0,565
84;37,6;797;34;4,15;35;0;0,016;20,4;0,557
84;36,5;811;32;4,12;35;0;0,023;20,4;0,557
84;38,8;790;32;4,36;35;0;-0,031;20,4;0,565
85;37,3;800;34;4,28;35;0;-0,023;20,4;0,584
85;36,5;803;57;4,09;35;3;0,078;20,4;0,561
86;70,6;971;51;10,96;34;18;0,062;30,2;0,506
86;40,4;1393;60;11,34;33;25;0,062;30,2;0,757
86;68,2;2271;19;23,82;33;30;-0,055;34,5;0,686
87;64,3;1489;63;15,78;33;34;-0,016;31,8;0,675
87;75,3;1742;65;20,18;33;40;-0,008;33,3;0,663
87;76,5;2085;24;24,18;33;41;0,039;34,5;0,675
88;36,1;845;30;4,06;34;27;0,031;20;0,553
88;38,4;815;43;3,59;34;24;0,031;19,2;0,549
88;67,5;1250;60;13,07;33;33;0,031;31;0,639
88;36,5;1628;48;5,35;33;36;0,016;22;0,671
88;49;1244;34;7,41;33;39;0,039;25,5;0,655
88;43,5;1318;20;8,63;34;42;0,031;27,5;0,678
88;32,9;925;21;4,52;34;45;0;24,7;0,514
88;39,6;875;21;4,42;34;44;0;20,4;0,643
88;32,2;818;34;4,51;35;33;0,031;21,2;0,678
88;34,5;796;31;3,71;35;21;0,062;20;0,588
88;39,2;808;31;3,99;35;12;-0,008;20,4;0,549
88;36,9;780;33;4,12;35;3;-0,023;20,4;0,58
88;35,7;791;32;4,15;35;2;0,023;20,4;0,6
88;38;807;46;4,22;35;5;-0,023;20,4;0,557
88;56,1;1598;42;14,71;34;19;0;31,4;0,62
88;54,5;1904;20;15,96;34;27;-0,055;31,8;0,694
88;40,8;1365;19;8,36;34;28;-0,016;27,1;0,686
88;45,1;785;51;4,97;34;26;-0,008;21,6;0,667
88;80;918;56;10,93;34;29;-0,008;29,8;0,584
89;82,7;1549;68;19,13;33;39;-0,047;33,3;0,647
89;23,1;1811;26;4,6;34;38;-0,016;22,4;0,541
89;27,1;828;61;3,44;34;35;0,039;20,4;0,627
89;71;1242;20;13,08;34;38;-0,016;30,6;0,627
89;36,1;799;31;3,96;34;35;0,031;20;0,651
89;61,6;1139;55;11,08;34;37;0,023;29,8;0,639
89;66,7;1259;55;12,26;33;40;-0,07;30,2;0,639
89;64,3;1381;28;12,02;33;42;-0,023;29,8;0,659
89;17,6;1359;33;3,48;34;38;0,078;20,8;0,647
89;43,5;1276;22;8,9;34;36;0;28,2;0,675
89;32,9;801;50;3,66;34;32;0;20;0,604
89;67,8;1682;64;17,72;33;41;-0,078;32,5;0,675
89;76,1;2165;52;23,74;33;46;0,031;27,5;0,678
89;64,3;1584;53;15,32;33;51;-0,055;31,8;0,675
89;65,5;1729;57;17,76;33;55;-0,008;32,2;0,678
89;68,2;1855;30;5,94;34;54;-0,039;23,5;0,678
89;38;797;32;3,98;34;55;0,039;20,4;0,592
90;27,1;807;32;3,73;35;52;0,031;20;0,612
90;52,2;1444;53;11,31;34;53;0,047;29,4;0,682
90;63,9;1467;54;13,67;33;55;-0,062;31;0,667
89;57,6;1506;47;12,16;33;55;-0,055;30,2;0,675
89;51,8;1524;21;11,69;33;55;0,023;29,8;0,686
88;43,1;814;33;4,85;34;52;0;20,8;0,663
88;32,9;799;33;4,01;35;49;0;20;0,584
88;31,8;820;48;2,98;35;48;-0,07;18,8;0,569
88;60;1319;49;12;34;49;0,047;30,2;0,655
88;58,8;1361;37;11,58;33;50;0,023;29,8;0,667
87;36,1;1385;23;6,96;34;49;-0,023;25,1;0,702
87;29,8;887;30;3,53;34;45;0,039;18,8;0,529
87;37,3;808;33;3,96;35;40;-0,023;20;0,529
87;34,5;804;32;3,96;35;22;-0,016;20;0,588
87;33,7;795;33;4,02;35;10;0,039;20;0,608
86;33,7;817;33;3,68;35;2;0,016;20;0,561
86;40,4;791;51;4,45;34;9;-0,023;20,8;0,541
86;53,7;1770;39;11,25;34;16;0;31,4;0,69
86;51,4;1477;42;11,86;34;23;-0,031;29,8;0,678
86;16,9;1538;39;3,97;34;25;0,117;20,8;0,651
86;61,6;1557;62;15,17;33;28;0,055;31,8;0,675
86;21,6;2225;67;6,32;33;33;0,07;23,9;0,573
86;81,6;1655;69;20,38;33;39;-0,047;33,7;0,655
87;80,8;2003;52;24,47;33;40;0,031;34,9;0,667
87;66,3;1335;34;4,79;34;37;0,031;20,8;0,647
87;40;793;30;4,49;35;21;-0,023;20,4;0,537
88;34,9;785;33;4,14;35;10;0,016;20,4;0,639
88;27,5;808;38;3,87;35;9;0,008;20;0,596
88;53,3;1721;39;14,99;34;16;0,055;31,8;0,686
88;67,5;1621;23;18,53;33;29;-0,008;33,3;0,675
88;47,1;1424;56;11,56;34;33;-0,016;30,2;0,694
88;20,8;1224;34;3,56;34;27;-0,023;18,4;0,604
89;36,5;787;46;4,18;35;17;0,016;20,4;0,553
89;42;868;46;4,76;35;24;-0,039;22,7;0,549
